"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:40.95",355,0,0,0,0,0,0
"2023-05-27 08:43:41",356,0,0,0,0,0,0
"2023-05-27 08:43:41.05",357,0,0,0,0,0,0
"2023-05-27 08:43:41.1",358,0,0,0,0,0,0
"2023-05-27 08:43:41.15",359,0,0,0,0,0,0
"2023-05-27 08:43:41.2",360,0,0,0,0,0,0
"2023-05-27 08:43:41.25",361,0,0,0,0,0,0
"2023-05-27 08:43:41.3",362,0,0,0,0,0,0
"2023-05-27 08:43:41.35",363,0,0,0,0,0,0
"2023-05-27 08:43:41.4",364,0,0,0,0,0,0
"2023-05-27 08:43:41.45",365,0,0,0,0,0,0
"2023-05-27 08:43:41.5",366,0,0,0,0,0,0
"2023-05-27 08:43:41.55",367,0,0,0,0,0,0
"2023-05-27 08:43:41.6",368,0,0,0,0,0,0
"2023-05-27 08:43:41.65",369,0,0,0,0,0,0
"2023-05-27 08:43:41.7",370,0,0,0,0,0,0
"2023-05-27 08:43:41.75",371,0,0,0,0,0,0
"2023-05-27 08:43:41.8",372,0,0,0,0,0,0
"2023-05-27 08:43:41.85",373,0,0,0,0,0,0
"2023-05-27 08:43:41.9",374,0,0,0,0,0,0
"2023-05-27 08:43:41.95",375,0,0,0,0,0,0
"2023-05-27 08:43:42",376,0,0,0,0,0,0
"2023-05-27 08:43:42.05",377,0,0,0,0,0,0
"2023-05-27 08:43:42.1",378,0,0,0,0,0,0
"2023-05-27 08:43:42.15",379,0,0,0,0,0,0
"2023-05-27 08:43:42.2",380,0,0,0,0,0,0
"2023-05-27 08:43:42.25",381,0,0,0,0,0,0
"2023-05-27 08:43:42.3",382,0,0,0,0,0,0
"2023-05-27 08:43:42.35",383,0,0,0,0,0,0
"2023-05-27 08:43:42.4",384,0,0,0,0,0,0
"2023-05-27 08:43:42.45",385,0,0,0,0,0,0
"2023-05-27 08:43:42.5",386,0,0,0,0,0,0
"2023-05-27 08:43:42.55",387,0,0,0,0,0,0
"2023-05-27 08:43:42.6",388,0,0,0,0,0,0
"2023-05-27 08:43:42.65",389,0,0,0,0,0,0
"2023-05-27 08:43:42.7",390,0,0,0,0,0,0
"2023-05-27 08:43:42.75",391,0,0,0,0,0,0
"2023-05-27 08:43:42.8",392,0,0,0,0,0,0
"2023-05-27 08:43:42.85",393,0,0,0,0,0,0
"2023-05-27 08:43:42.9",394,0,0,0,0,0,0
"2023-05-27 08:43:42.95",395,0,0,0,0,0,0
"2023-05-27 08:43:43",396,0,0,0,0,0,0
"2023-05-27 08:43:43.05",397,0,0,0,0,0,0
"2023-05-27 08:43:43.1",398,0,0,0,0,0,0
"2023-05-27 08:43:43.15",399,0,0,0,0,0,0
"2023-05-27 08:43:43.2",400,0,0,0,0,0,0
