"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:19.15",349,0,0,0,0,0,0
"2023-05-26 14:41:19.2",350,0,0,0,0,0,0
"2023-05-26 14:41:19.25",351,0,0,0,0,0,0
"2023-05-26 14:41:19.3",352,0,0,0,0,0,0
"2023-05-26 14:41:19.35",353,0,0,0,0,0,0
"2023-05-26 14:41:19.4",354,0,0,0,0,0,0
"2023-05-26 14:41:19.45",355,0,0,0,0,0,0
"2023-05-26 14:41:19.5",356,0,0,0,0,0,0
"2023-05-26 14:41:19.55",357,0,0,0,0,0,0
"2023-05-26 14:41:19.6",358,0,0,0,0,0,0
"2023-05-26 14:41:19.65",359,0,0,0,0,0,0
"2023-05-26 14:41:19.7",360,0,0,0,0,0,0
"2023-05-26 14:41:19.75",361,0,0,0,0,0,0
"2023-05-26 14:41:19.8",362,0,0,0,0,0,0
"2023-05-26 14:41:19.85",363,0,0,0,0,0,0
"2023-05-26 14:41:19.9",364,0,0,0,0,0,0
"2023-05-26 14:41:19.95",365,0,0,0,0,0,0
"2023-05-26 14:41:20",366,0,0,0,0,0,0
"2023-05-26 14:41:20.05",367,0,0,0,0,0,0
"2023-05-26 14:41:20.1",368,0,0,0,0,0,0
"2023-05-26 14:41:20.15",369,0,0,0,0,0,0
"2023-05-26 14:41:20.2",370,0,0,0,0,0,0
"2023-05-26 14:41:20.25",371,0,0,0,0,0,0
"2023-05-26 14:41:20.3",372,0,0,0,0,0,0
"2023-05-26 14:41:20.35",373,0,0,0,0,0,0
"2023-05-26 14:41:20.4",374,0,0,0,0,0,0
"2023-05-26 14:41:20.45",375,0,0,0,0,0,0
"2023-05-26 14:41:20.5",376,0,0,0,0,0,0
"2023-05-26 14:41:20.55",377,0,0,0,0,0,0
"2023-05-26 14:41:20.6",378,0,0,0,0,0,0
"2023-05-26 14:41:20.65",379,0,0,0,0,0,0
"2023-05-26 14:41:20.7",380,0,0,0,0,0,0
"2023-05-26 14:41:20.75",381,0,0,0,0,0,0
"2023-05-26 14:41:20.8",382,0,0,0,0,0,0
"2023-05-26 14:41:20.85",383,0,0,0,0,0,0
"2023-05-26 14:41:20.9",384,0,0,0,0,0,0
"2023-05-26 14:41:20.95",385,0,0,0,0,0,0
"2023-05-26 14:41:21",386,0,0,0,0,0,0
"2023-05-26 14:41:21.05",387,0,0,0,0,0,0
"2023-05-26 14:41:21.1",388,0,0,0,0,0,0
"2023-05-26 14:41:21.15",389,0,0,0,0,0,0
"2023-05-26 14:41:21.2",390,0,0,0,0,0,0
"2023-05-26 14:41:21.25",391,0,0,0,0,0,0
"2023-05-26 14:41:21.3",392,0,0,0,0,0,0
"2023-05-26 14:41:21.35",393,0,0,0,0,0,0
"2023-05-26 14:41:21.4",394,0,0,0,0,0,0
"2023-05-26 14:41:21.45",395,0,0,0,0,0,0
"2023-05-26 14:41:21.5",396,0,0,0,0,0,0
"2023-05-26 14:41:21.55",397,0,0,0,0,0,0
"2023-05-26 14:41:21.6",398,0,0,0,0,0,0
"2023-05-26 14:41:21.65",399,0,0,0,0,0,0
"2023-05-26 14:41:21.7",400,0,0,0,0,0,0
"2023-05-26 14:41:21.75",401,0,0,0,0,0,0
"2023-05-26 14:41:21.8",402,0,0,0,0,0,0
"2023-05-26 14:41:21.85",403,0,0,0,0,0,0
"2023-05-26 14:41:21.9",404,0,0,0,0,0,0
"2023-05-26 14:41:21.95",405,0,0,0,0,0,0
"2023-05-26 14:41:22",406,0,0,0,0,0,0
"2023-05-26 14:41:22.05",407,0,0,0,0,0,0
"2023-05-26 14:41:22.1",408,0,0,0,0,0,0
"2023-05-26 14:41:22.15",409,0,0,0,0,0,0
"2023-05-26 14:41:22.2",410,0,0,0,0,0,0
"2023-05-26 14:41:22.25",411,0,0,0,0,0,0
